Corp Id,CORPORATION NAME,Cohort N,Grad N,2018 State Grad Rate,Non-Waiver Grad N,2018 State Non-Waiver Grad Rate
6590,M S D Mount Vernon,164,154,93.90%,127,77.44%
6600,M S D North Posey Co Schools,115,111,96.52%,107,93.04%
6620,Eastern Pulaski Community Sch Corp,93,88,94.62%,80,86.02%
6630,West Central School Corp,64,53,82.81%,49,76.56%
6705,South Putnam Community Schools,89,79,88.76%,78,87.64%
6715,North Putnam Community Schools,103,100,97.09%,96,93.20%
6750,Cloverdale Community Schools,86,83,96.51%,80,93.02%
6755,Greencastle Community School Corp,122,117,95.90%,112,91.80%
6795,Union School Corporation,47,34,72.34%,29,61.70%
6805,Randolph Southern School Corp,43,41,95.35%,38,88.37%
6820,Monroe Central School Corp,97,96,98.97%,93,95.88%
6825,Randolph Central School Corp,87,82,94.25%,78,89.66%
6835,Randolph Eastern School Corp,68,66,97.06%,50,73.53%
6865,South Ripley Com Sch Corp,90,88,97.78%,84,93.33%
6895,Batesville Community School Corp,177,170,96.05%,156,88.14%
6900,Jac-Cen-Del Community Sch Corp,67,61,91.04%,58,86.57%
6910,Milan Community Schools,95,93,97.89%,91,95.79%
6995,Rush County Schools,153,150,98.04%,142,92.81%
7150,John Glenn School Corporation,140,130,92.86%,122,87.14%
7175,Penn-Harris-Madison School Corp,868,841,96.89%,780,89.86%
7200,School City of Mishawaka,333,304,91.29%,259,77.78%
7205,South Bend Community School Corp,1281,995,77.67%,865,67.53%
7215,Union-North United School Corp,83,73,87.95%,70,84.34%
7230,Scott County School District 1,97,79,81.44%,71,73.20%
7255,Scott County School District 2,189,168,88.89%,155,82.01%
7285,Shelby Eastern Schools,85,81,95.29%,75,88.24%
7350,Northwestern Con School Corp,110,106,96.36%,101,91.82%
7360,Southwestern Con Sch Shelby Co,47,46,97.87%,44,93.62%
7365,Shelbyville Central Schools,252,243,96.43%,211,83.73%
7385,North Spencer County Sch Corp,157,157,100.00%,151,96.18%
7445,South Spencer County Sch Corp,84,76,90.48%,72,85.71%
7495,Oregon-Davis School Corp,45,36,80.00%,33,73.33%
7515,North Judson-San Pierre Sch Corp,85,77,90.59%,59,69.41%
7525,Knox Community School Corp,144,142,98.61%,133,92.36%
7605,Fremont Community Schools,78,67,85.90%,61,78.21%
7610,Hamilton Community Schools,21,20,95.24%,16,76.19%
7615,M S D Steuben County,204,181,88.73%,169,82.84%
7645,Northeast School Corp,66,60,90.91%,55,83.33%
7715,Southwest School Corporation,141,132,93.62%,132,93.62%
7775,Switzerland County School Corp,99,83,83.84%,78,78.79%
7855,Lafayette School Corporation,435,357,82.07%,312,71.72%
7865,Tippecanoe School Corp,861,809,93.96%,760,88.27%
7875,West Lafayette Com School Corp,163,159,97.55%,154,94.48%
7935,Tri-Central Community Schools,60,59,98.33%,55,91.67%
7945,Tipton Community School Corp,119,112,94.12%,104,87.39%
7950,Union Co/Clg Corner Joint Sch Dist,118,106,89.83%,91,77.12%
7995,Evansville Vanderburgh School Corp,1574,1281,81.39%,1158,73.57%
8010,North Vermillion Com Sch Corp,68,64,94.12%,40,58.82%
8020,South Vermillion Com Sch Corp,138,127,92.03%,122,88.41%
8030,Vigo County School Corp,942,808,85.77%,753,79.94%
8045,Manchester Community Schools,124,119,95.97%,113,91.13%
8050,M S D Wabash County Schools,215,183,85.12%,148,68.84%
8060,Wabash City Schools,100,96,96.00%,83,83.00%
8115,M S D Warren County,90,87,96.67%,86,95.56%
8130,Warrick County School Corp,750,678,90.40%,640,85.33%
8205,Salem Community Schools,139,123,88.49%,107,76.98%
8215,East Washington School Corp,106,97,91.51%,94,88.68%
8220,West Washington School Corp,47,46,97.87%,46,97.87%
8305,Nettle Creek School Corporation,60,59,98.33%,55,91.67%
8355,Western Wayne Schools,99,76,76.77%,60,60.61%
8360,Centerville-Abington Com Schs,113,112,99.12%,108,95.58%
8375,Northeastern Wayne Schools,97,94,96.91%,86,88.66%
8385,Richmond Community Schools,275,270,98.18%,232,84.36%
8425,Southern Wells Com Schools,54,54,100.00%,48,88.89%
8435,Northern Wells Community Schools,180,173,96.11%,154,85.56%
8445,M S D Bluffton-Harrison,97,95,97.94%,88,90.72%
8515,North White School Corp,71,62,87.32%,52,73.24%
8525,Frontier School Corporation,40,36,90.00%,32,80.00%
8535,Tri-County School Corporation,68,60,88.24%,56,82.35%
8565,Twin Lakes School Corp,193,164,84.97%,147,76.17%
8625,Smith-Green Community Schools,87,79,90.80%,76,87.36%
8665,Whitley County Con Schools,240,228,95.00%,211,87.92%
8810,CSUSA Howe,61,56,91.80%,47,77.05%
8815,CSUSA Manual,106,83,78.30%,75,70.75%
8820,Edison Learning Roosevelt,127,51,40.16%,29,22.83%
9050,Excel Center - Clarksville,42,3,7.14%,3,7.14%
9055,Excel Center - Hammond,30,0,0.00%,0,0.00%
9120,Insight School of Indiana,156,35,22.44%,22,14.10%
9155,Indiana Virtual Pathways Academy,1009,22,2.18%,17,1.68%
9305,Excel Center - Richmond,98,25,25.51%,25,25.51%
9315,Signature School Inc,64,64,100.00%,64,100.00%
9320,Community Montessori Inc,33,32,96.97%,27,81.82%
