Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,Non-Waiver Grad N,Non-Waiver Grad Rate
9880,Career Academy High School,51,47,92.16%,44,86.27%
9885,Gary Middle College,96,38,39.58%,32,33.33%
9890,Indiana Virtual School,985,63,6.40%,54,5.48%
9895,IN Math & Science Academy - North,18,18,100.00%,16,88.89%
9900,Excel Center - South Bend,83,15,18.07%,12,14.46%
9905,Indiana Connections Academy,859,425,49.48%,352,40.98%
9910,Excel Center for Adult Learners,535,126,23.55%,113,21.12%
9915,Marion Academy,39,3,7.69%,2,5.13%
9920,Damar Charter Academy,24,3,12.50%,3,12.50%
9930,Nexus Academy of Indianapolis,43,37,86.05%,37,86.05%
9950,Dugger Union Community School Corp,34,24,70.59%,23,67.65%
9995,Excel Center - Shelbyville,***,***,***,***,***
-999,Independent Non-Public Schools,1445,1096,75.85%,1016,70.31%
,,,,,,
"***Due to federal privacy laws, student performance data may not be displayed for any group of fewer than 10 students",,,,,,
