Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
5495,Triton School Corporation,62,54,87.10%,53,85.48%
8565,Twin Lakes School Corporation,194,157,80.93%,152,78.35%
6795,Union School Corporation,47,37,78.72%,30,63.83%
6530,Union Township School Corporation,135,132,97.78%,122,90.37%
7215,Union-North United School Corporation,82,67,81.71%,61,74.39%
6560,Valparaiso Community Schools,473,439,92.81%,422,89.22%
8030,Vigo County School Corporation,950,843,88.74%,792,83.37%
4335,Vincennes Community School Corporation,153,148,96.73%,142,92.81%
2285,Wa-Nee Community Schools,221,203,91.86%,195,88.24%
8060,Wabash City Schools,96,86,89.58%,77,80.21%
8050,Wabash County Schools Metropolitan School District,207,169,81.64%,142,68.60%
8115,Warren County Metropolitan School District,74,71,95.95%,71,95.95%
5360,Warren Township Metropolitan School District,839,750,89.39%,669,79.74%
8130,Warrick County School Corporation,728,664,91.21%,621,85.30%
4415,Warsaw Community Schools,510,485,95.10%,445,87.25%
5370,Washington Township Metropolitan School District,880,772,87.73%,676,76.82%
4345,Wawasee Community School Corporation,233,201,86.27%,181,77.68%
5375,Wayne Township Metropolitan School District,1093,951,87.01%,776,71.00%
1885,Wes-Del Community Schools,72,57,79.17%,55,76.39%
6630,West Central School Corporation,67,61,91.04%,57,85.07%
940,West Clark Community Schools,379,343,90.50%,318,83.91%
7875,West Lafayette Community School Corporation,171,167,97.66%,163,95.32%
6065,West Noble School Corporation,158,141,89.24%,132,83.54%
8220,West Washington School Corporation,67,61,91.04%,60,89.55%
3490,Western School Corporation,182,177,97.25%,171,93.96%
8355,Western Wayne Schools,79,74,93.67%,61,77.22%
3030,Westfield-Washington Schools,469,446,95.10%,438,93.39%
4525,Westview School Corporation,92,87,94.57%,86,93.48%
2980,White River Valley School District,46,43,93.48%,41,89.13%
4455,Whitko Community School Corporation,128,118,92.19%,113,88.28%
8665,Whitley County Consolidated Schools,250,229,91.60%,220,88.00%
630,Zionsville Community Schools,453,439,96.91%,435,96.03%
