Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,"Non-Waiver
Grad N","Non-Waiver
Grad Rate"
6195,Spencer-Owen Community Schools,187,167,89.3%,157,84.0%
6260,Southwest Parke Com Sch Corp,83,70,84.3%,68,81.9%
6325,Perry Central Com Schools Corp,82,81,98.8%,71,86.6%
6340,Cannelton City Schools,21,14,66.7%,8,38.1%
6350,Tell City-Troy Twp School Corp,82,79,96.3%,73,89.0%
6375,North Central Parke Comm Schl Corp,94,93,98.9%,84,89.4%
6445,Pike County School Corp,131,117,89.3%,105,80.2%
6460,M S D Boone Township,87,83,95.4%,83,95.4%
6470,Duneland School Corporation,467,448,95.9%,428,91.6%
6510,East Porter County School Corp,186,181,97.3%,172,92.5%
6520,Porter Township School Corp,131,127,96.9%,125,95.4%
6530,Union Township School Corp,146,144,98.6%,136,93.2%
6550,Portage Township Schools,597,541,90.6%,522,87.4%
6560,Valparaiso Community Schools,489,462,94.5%,449,91.8%
6590,M S D Mount Vernon,169,164,97.0%,144,85.2%
6600,M S D North Posey Co Schools,107,98,91.6%,97,90.7%
6620,Eastern Pulaski Community Sch Corp,101,94,93.1%,86,85.1%
6630,West Central School Corp,58,50,86.2%,50,86.2%
6705,South Putnam Community Schools,82,79,96.3%,74,90.2%
6715,North Putnam Community Schools,109,101,92.7%,98,89.9%
6750,Cloverdale Community Schools,105,101,96.2%,94,89.5%
6755,Greencastle Community School Corp,128,119,93.0%,107,83.6%
6795,Union School Corporation,33,22,66.7%,17,51.5%
6805,Randolph Southern School Corp,31,31,100.0%,29,93.5%
6820,Monroe Central School Corp,81,78,96.3%,74,91.4%
6825,Randolph Central School Corp,89,85,95.5%,78,87.6%
6835,Randolph Eastern School Corp,59,56,94.9%,56,94.9%
6865,South Ripley Com Sch Corp,99,94,94.9%,81,81.8%
6895,Batesville Community School Corp,197,193,98.0%,186,94.4%
6900,Jac-Cen-Del Community Sch Corp,59,53,89.8%,51,86.4%
6910,Milan Community Schools,88,84,95.5%,72,81.8%
6995,Rush County Schools,174,166,95.4%,161,92.5%
7150,John Glenn School Corporation,170,158,92.9%,154,90.6%
7175,Penn-Harris-Madison School Corp,844,824,97.6%,787,93.2%
7200,School City of Mishawaka,340,311,91.5%,281,82.6%
7205,South Bend Community School Corp,1207,1011,83.8%,892,73.9%
7215,Union-North United School Corp,69,59,85.5%,52,75.4%
7230,Scott County School District 1,86,77,89.5%,69,80.2%
7255,Scott County School District 2,194,162,83.5%,152,78.4%
7285,Shelby Eastern Schools,77,70,90.9%,61,79.2%
7350,Northwestern Con School Corp,114,110,96.5%,106,93.0%
7360,Southwestern Con Sch Shelby Co,47,47,100.0%,44,93.6%
7365,Shelbyville Central Schools,248,232,93.5%,217,87.5%
7385,North Spencer County Sch Corp,125,125,100.0%,124,99.2%
7445,South Spencer County Sch Corp,103,91,88.3%,91,88.3%
7495,Oregon-Davis School Corp,54,42,77.8%,40,74.1%
7515,North Judson-San Pierre Sch Corp,82,75,91.5%,66,80.5%
7525,Knox Community School Corp,135,120,88.9%,118,87.4%
7605,Fremont Community Schools,79,67,84.8%,62,78.5%
7610,Hamilton Community Schools,42,34,81.0%,33,78.6%
7615,M S D Steuben County,212,185,87.3%,167,78.8%
7645,Northeast School Corp,75,67,89.3%,64,85.3%
7715,Southwest School Corp,138,132,95.7%,129,93.5%
7775,Switzerland County School Corp,117,110,94.0%,99,84.6%
7855,Lafayette School Corporation,459,405,88.2%,364,79.3%
7865,Tippecanoe School Corp,767,715,93.2%,669,87.2%
7875,West Lafayette Com School Corp,166,166,100.0%,162,97.6%
7935,Tri-Central Community Schools,71,69,97.2%,65,91.5%
7945,Tipton Community School Corp,129,126,97.7%,102,79.1%
7950,Union Co/Clg Corner Joint Sch Dist,124,112,90.3%,109,87.9%
7995,Evansville Vanderburgh School Corp,1535,1212,79.0%,1090,71.0%
8010,North Vermillion Com Sch Corp,75,66,88.0%,43,57.3%
8020,South Vermillion Com Sch Corp,106,103,97.2%,93,87.7%
8030,Vigo County School Corp,944,855,90.6%,800,84.7%
8045,Manchester Community Schools,111,106,95.5%,100,90.1%
8050,M S D Wabash County Schools,181,154,85.1%,130,71.8%
8060,Wabash City Schools,103,97,94.2%,85,82.5%
8115,M S D Warren County,87,85,97.7%,81,93.1%
8130,Warrick County School Corp,732,635,86.7%,595,81.3%
8205,Salem Community Schools,133,126,94.7%,108,81.2%
8215,East Washington School Corp,120,110,91.7%,97,80.8%
8220,West Washington School Corp,78,77,98.7%,75,96.2%
8305,Nettle Creek School Corporation,73,70,95.9%,65,89.0%
8355,Western Wayne Schools,81,70,86.4%,58,71.6%
8360,Centerville-Abington Com Schs,120,113,94.2%,109,90.8%
8375,Northeastern Wayne Schools,96,92,95.8%,87,90.6%
8385,Richmond Community Schools,305,292,95.7%,275,90.2%
8425,Southern Wells Com Schools,65,60,92.3%,54,83.1%
8435,Northern Wells Com Schools,204,195,95.6%,177,86.8%
8445,M S D Bluffton-Harrison,110,108,98.2%,99,90.0%
8515,North White School Corp,50,43,86.0%,38,76.0%
8525,Frontier School Corporation,60,56,93.3%,49,81.7%
8535,Tri-County School Corporation,51,43,84.3%,41,80.4%
8565,Twin Lakes School Corp,156,142,91.0%,135,86.5%
8625,Smith-Green Community Schools,101,97,96.0%,92,91.1%
8665,Whitley Co Cons Schools,243,231,95.1%,222,91.4%
8810,CSUSA Howe,73,46,63.0%,46,63.0%
8815,CSUSA Manual,98,81,82.7%,74,75.5%
8820,Edison Learning Roosevelt,84,48,57.1%,34,40.5%
9200,Archdiocese of Indianapolis,1448,1430,98.8%,1405,97.0%
9205,Diocese of Gary,300,294,98.0%,290,96.7%
9210,Diocese of Lafayette Catholic Sch,233,232,99.6%,232,99.6%
9215,Diocese of Evansville,330,327,99.1%,316,95.8%
9220,Diocese of Fort Wayne - South Bend,803,799,99.5%,790,98.4%
9230,Lutheran Schools of Indiana,243,240,98.8%,236,97.1%
9305,Excel Center - Richmond,133,28,21.1%,27,20.3%
9315,Signature School Inc,72,72,100.0%,72,100.0%
9320,Community Montessori Inc,33,30,90.9%,24,72.7%
9325,Options Charter School - Carmel,39,14,35.9%,11,28.2%
9330,Irvington Community School,64,50,78.1%,46,71.9%
9335,Excel Center - Lafayette Square,75,22,29.3%,22,29.3%
9345,Excel Center - Lafayette,149,40,26.8%,39,26.2%
9355,Excel Center - Kokomo,116,37,31.9%,36,31.0%
9380,Christel House Academy South,20,17,85.0%,17,85.0%
9385,Christel House DORS South,75,14,18.7%,12,16.0%
9440,Christel House DORS West,16,7,43.8%,7,43.8%
9445,Charles A Tindley Accelerated Sch,36,32,88.9%,32,88.9%
9460,Thea Bowman Leadership Academy,101,96,95.0%,81,80.2%
9535,Gary Lighthouse Charter School,104,102,98.1%,89,85.6%
9545,21st Century Charter Sch of Gary,35,31,91.4%,28,80.0%
9575,Indpls Lighthouse Charter School,57,56,98.2%,53,93.0%
9620,Burris Laboratory School,40,39,97.5%,39,97.5%
9625,IN Acad for Sci Math & Humanities,143,139,97.2%,139,97.2%
9630,Carpe Diem - Shadeland,***,***,***,***,***
9640,Options Charter School Noblesville,63,14,22.2%,13,20.6%
9650,Herron Charter,182,180,98.9%,178,97.8%
9655,Hope Academy,***,***,***,***,***
9670,Indianapolis Metropolitan High Sch,50,31,62.0%,29,58.0%
9705,Hammond Academy of Science & Tech,65,62,95.4%,60,92.3%
9710,Carpe Diem - Northwest,***,***,***,***,***
9730,Neighbors' New Vistas High School,100,33,33.0%,33,33.0%
9750,Excel Center - Anderson,138,35,25.4%,29,21.0%
9755,Carpe Diem - Meridian Campus,***,***,***,***,***
9760,Smith Academy for Excellence,***,***,***,***,***
9790,Anderson Preparatory Academy,59,53,89.8%,51,86.4%
9805,Hoosier Academy - Indianapolis,15,8,53.3%,7,46.7%
9840,Excel Center - University Heights,73,7,9.6%,7,9.6%
9855,Excel Center - Noblesville,40,10,25.0%,9,22.5%
9865,Hoosier Acad Virtual Charter,538,122,22.7%,88,16.4%
9875,Rock Creek Community Academy,23,21,91.3%,20,87.0%
9880,Career Academy High School,47,43,91.5%,39,83.0%
9885,Gary Middle College,99,27,27.3%,25,25.3%
9890,Indiana Virtual School,419,24,5.7%,21,5.0%
9895,IN Math & Science Academy - North,17,13,76.5%,13,76.5%
9900,Excel Center - South Bend,24,0,0.0%,0,0.0%
9905,Indiana Connections Academy,775,340,43.9%,300,38.7%
9910,Excel Center for Adult Learners,499,113,22.6%,102,20.4%
9915,Marion Academy,29,2,6.9%,2,6.9%
9920,Damar Charter Academy,17,5,29.4%,1,5.9%
9930,Nexus Academy of Indianapolis,44,26,59.1%,24,54.5%
9950,Dugger Union Community School Corp,23,16,69.6%,15,65.2%
N/A,Independent Non-Public Schools,1331,1056,79.3%,955,71.8%
,,,,,,
"***Due to federal privacy laws, student performance data may not be displayed for any group of fewer than 10 students.",,,,,,
